;;;;;;1: buona, copia perfetta dell'originale;;;;;
;;;;;;2: media, presenti imperfezioni;;;;;
;;;;;;3: scarsa: molte difformit…;;Cognome e Nome;;;
ID;N.;Settore;Classe;Animale: nome comune;Animale: nome scientifico;Grado di affidabilit… della rappresentazione;Area geografica di presenza della specie;Determinatore;Note;;Code
89;53;F;Aves;Chiurlo piccolo;Numenius phaeopus;Scarsa;Europa, Asia, Africa, Americhe, regione Austalasiatica;Gagliardi;l'immagine Š rovinata e non sono ben comprensibili i dettagli che potrebbero permettere il riconoscimento specifico;;
90;52;F;Aves;Occhione;Burinus oedicnemus;Media;Europa, Asia, Africa;Gagliardi;;;
91;;F;Aves;Uccello non determinabile;;;;;;;
92;54;F;Mammalia;Coniglio;Orictolagus cuniculus;Buona;;Martinoli;Coniglio con fenotipo selvatico;;
93;1;G;Aves;Uccello non determinabile;;;;;;;
94;3;G;Aves;Columbidae non determinabile;Columbidae spp.;Media;Famiglia distribuita in modo cosmopolita ad eccezione delle aree artiche e antartiche;Gagliardi;i caratteri possono essere ricondotti a una specie del genere Streptopelia (ind. Giovane), ma caratteri poco definiti;;
95;11;G;Aves;Parrocchetto frontearancio / Conuro frontearancio;Aratinga canicularis;Scarsa;Centro America;Gagliardi;petto dovrebbe essere verde chiaro e non bianco;;
96;10;G;Aves;Gabbiano tridattilo;Rissa tridactyla;Media;Europa, Asia, Africa, Americhe;Gagliardi;individuo giovane. ;;
97;12;G;Aves;Pollo sultano;Pophyrio porphyrio;Buona;Europa, Asia, Africa, regione Australasiatica;Gagliardi;;;
98;13;F;Aves;Pollo sultano;Pophyrio porphyrio;Buona;Europa, Asia, Africa, regione Australasiatica;Gagliardi;;;
99;14;G;Aves;Fenicottero;Phoenicopterus ruber roseus;Buona;Europa, Asia, Africa;Gagliardi;sottospecie roeus;;
100;15;G;Aves;Fenicottero;Phoenicopterus ruber roseus;Buona;Europa, Asia, Africa;Gagliardi;sottospecie roeus;;
101;24;G;Osteicta;Pesci vari;;;;;;;
102;19;G;Aves;Pinguino dell'Antartide/Pinguino dal collare antartico;Pygoscelis antarctica;Scarsa;Antartide, sud oceano Atlantico (Argentina);Gagliardi;imperfezioni notevoli, caratteri della parte facciale non rispondenti. Altre specie che presentano caratteri simili: pinguino minore blu (Eudyptula minor), con distribuzione in Australia, Tasmania e Nuova Zelanda, gazza marina (Alca torda) distribuzione nord Europa, urietta di Xantus (Synthliboramphus hypoleucus). Caratteri simili anche a una specie estinta affine agli alcidi: famiglia Mancallidae, Mancalla californiensis, tardo Miocene, California.;;
102;18;G;Aves;Pinguino dell'Antartide/Pinguino dal collare antartico;Pygoscelis antarctica;Scarsa;Antartide, sud oceano Atlantico (Argentina);Gagliardi;imperfezioni notevoli, caratteri della parte facciale non rispondenti. Altre specie che presentano caratteri simili: pinguino minore blu (Eudyptula minor), con distribuzione in Australia, Tasmania e Nuova Zelanda, gazza marina (Alca torda) distribuzione nord Europa, urietta di Xantus (Synthliboramphus hypoleucus). Caratteri simili anche a una specie estinta affine agli alcidi: famiglia Mancallidae, Mancalla californiensis, tardo Miocene, California.;;
103;17;G;Aves;Tarabusino;Ixobrychus minutus;Media;Europa, Asia, Africa, regione Australasiatica;Gagliardi;Individuo maschio, colorazione del becco e del petto poco rispondente alla realt…;;
104;16;G;Aves;Svasso piccolo;Podiceps nigricollis;Scarsa;Europa, Asia, sud Africa, nord e centro America;Gagliardi;abito invernale, caratteri poco dettagliati;;
105;20;G;Mammalia;Vacca;Bos taurus;Buona;;Martinoli;Compatibile con razza Asturiana (Spagna);;
106;21;G;Mammalia;Bufalo;Syncerus caffer;Media;Africa;Martinoli;giovane maschio;;
107;22;G;Mammalia;Alcelafo lelvel;Alcelaphus lelwel;Media;Africa centrale;Martinoli;;;
108;8;G;Mammalia;Asino;Equs asinus;Buona;;Martinoli;Non assimilabile a nessuna razza attualmente nota. La riga nera evidenzia la probabile origine da razze africane;;
109;1;H;Aves;Uccello non determinabile;;;;;;;
110;3;H;Aves;Mignattaio;Plegadis falcinellus;Buona;Europa, Asia, Africa, regione Australasiatica, porzione orientale costiera del nord e centro America;Gagliardi;;;
111;2;H;Aves;Uccello non determinabile;;;;;;;
112;4;H;Mammalia;Vitello;Bos taurus;Buona;;Martinoli;;;
113;5;H;Mammalia;Capra;Capra hircus;Buona;;Martinoli;Compatibile con maschio di razza Valgerola;;
114;6;H;Mammalia;Maiale?;Sus scrofa?;Media;;Martinoli;maiale con fenotipo selvatico o ibrido cinghiale-maiale. Anomale le chiazze chiare intorno agli occhi;;
115;;I;Aves;Passeriforme non determinabile;;;;;;;
116;2;I;Mammalia;Cercopiteco gialloverde;Chlorocebus sabaeus (Linnaeus, 1766);1;Africa occidentale (Senegal-Guinea);Gippoliti Spartaco;;;
117;4;I;Mammalia;Tamarino?;Saguinus sp.;3;America meridionale;Gippoliti Spartaco;La qualit… dell'immagine non consente che di supporre si tratti di un tamarino del genere Saguinus, nel quale si incontrano alcune forme caratterizzate da mantello scuro e macchie bianche intorno alla bocca ed agli occhi;;
118;3;I;Aves;Ara macao / Ara scarlatta;Ara macao ;Buona;Centro e Sud America;Gagliardi;;;
119;33;I;Mammalia;Istrice;Hystrix cristata;Media;Eurasia e Africa;Martinoli;Muso riportato male;;
120;31;I;Aves;Capovaccaio;Neophron percnopterus;Buona;Europa, Asia, Africa;Gagliardi;adulto  ;;
121;6;I;Aves;Airone bianco maggiore;Casmerodius albus/Egretta alba;Buona;America, Europa, Asia, Africa, regione Australasiatica;Gagliardi;;;
122;7;I;Aves;Spatola;Platalea leucorodia;Buona;Europa, Asia, Africa;Gagliardi;;;
123;10;I;Aves;Codone;Anas acuta;Buona;Europa, Asia, Nord America;Gagliardi;;;
124;8;I;Aves;Caradriforme Scolopacide non determinabile;;;famiglia distribuita in modo cosmopolita;Gagliardi;alcuni caratteri sono rispondenti a piro piro culbianco (Tringa ochropus) o piro piro boscherecco (Tringa glareola);;
125;9;I;Aves;Casarca;Tadorna ferruginea;Buona;Europa, Asia, Nord Africa;Gagliardi;femmina;;
126;11;I;Aves;Moretta tabaccata;Aythya nyroca;Buona;Europa, Asia, Africa;Gagliardi;maschio;;
127;29;I;Aves;Nitticora;Nycticorax nycticorax;Buona;Europa, Asia, Africa, Americhe;Gagliardi;;;
128;12;I;Aves;Folaga;Fulica atra;Buona;Europa, Asia, Africa, regione Australasiatica;Gagliardi;;;
129;13;I;Aves;Marzaiola;Anas querquedula;Buona;Europa, Asia, Africa;Gagliardi;;;
130;15;I;Aves;Sgarza ciuffetto;Ardeola ralloides;Buona;Europa, Asia, Africa;Gagliardi;;;
131;16;I;Aves;Pellicano riccio;Pelecanus crispus;Buona;Europa (area balcanica) e Asia (area mar caspio e piane dei fiumi Indi e Gange);Gagliardi;;;
132;17;I;Mammalia;Lontra;Lutra lutra;Buona;Eurasia;Martinoli;;;
133;18;I;Aves;Pavoncella;Vanellus vanellus;Media;Europa, Asia, nord Africa;Gagliardi;;;
134;32;I;Crustacea;Astice;Homarus gammarus;Buona;Europa;Martinoli;non distinguibile dall'astice americano se non per la colorazione pi— scura;;
135;30;I;Aves;Calao rinoceronte;Buceros rhinoceros;Buona;Asia sud-orientale, Penisola Malese, Sumatra, Borneo, Giava;;;;
136;19;I;Reptilia;Testuggine palustre europea;Emys orbicularis;1;Europa, Asia, Nord Africa;Macchi Silvia;;;
136;20;I;Reptilia;Testuggine palustre europea;Emys orbicularis;1;Europa, Asia, Nord Africa;Macchi Silvia;;;
137;21;I;Aves;Anatra muta domestica;Cairina moschata;Buona;origine: centro e sud America;Gagliardi;;;
137;22;I;Aves;Anatra muta domestica;Cairina moschata;Buona;origine: centro e sud America;Gagliardi;;;
137;24;I;Aves;Anatra muta domestica;Cairina moschata;Buona;origine: centro e sud America;Gagliardi;;;
137;25;I;Aves;Anatra muta domestica;Cairina moschata;Buona;origine: centro e sud America;Gagliardi;;;
138;23;I;Aves;Anatide non determinabile;;;;Gagliardi;caratteri di colorazione del piumaggio non riscontrabili in alcuna specie selvatica nota. Ô molto probabile che si tratti di un individuo domestico, che pu• presentare colorazione del piumaggio molto variabile;;
139;2;J;Aves;Sgarza ciuffetto;Ardeola ralloides;Media;Europa, Asia, Africa;Gagliardi;becco troppo corto ;;
140;3;J;Aves;Passeriforme non determinabile;;;;;;;
141;4;J;Aves;Ara ararauna / Ara gialloblu;Ara ararauna;Buona;Sud America;Gagliardi;;;
142;1;J;Mammalia;Capriolo;Capreolus capreolus;Buona;Europa;Martinoli;dallo specchio anale (forma e assenza di pseudocoda) sembrerebbe un maschio giovane;;
143;5;J;Mammalia;Lepre bianca;Lepus timidus;Buona;Olartica;Martinoli;;;
144;6;J;Aves;Gru ;Grus grus;Media;Europa, Asia, Africa;Gagliardi;;;
145;7;J;Mammalia;Babbuino nero ;Papio sp.;2;vedi nota;Gippoliti Spartaco;Interessante raffigurazione di babbuino subsahariano, probabilmente riferibile a Papio ursinus (Kerr, 1792) dell'Africa meridionale;;
146;8;J;Mammalia;Aguti ind. ;Dasyproctidae ind.;Media;Sudamerica;Martinoli;;;
147;10;J;Aves;Grifone;Gyps fulvus;Buona;Europa (area mediterranea), Turchia, Caucaso;Gagliardi;individuo giovane (becco scuro, collare scuro);;
148;11;J;Mammalia;Gazzella di montagna;Gazella gazella;Buona;Penisola arabica;Martinoli;;;
149;9;J;Mammalia;Nasua rosso / coati rosso;Nasua nasua;Buona;Sudamerica;Martinoli;;;
150;12;J;Mammalia;Puzzola;Mustela putorius;Media;Europa;Martinoli;rappresentazione non perfetta;;
151;14;J;Mammalia;Volpe artica;Alopex lagopus;Media;Olartica;Martinoli;Muso non ben rappresentato;;
152;13;J;Mammalia;Pangolino;Manis sp.;Buona;Asia e Africa;Martinoli;non Š possibile definire la specie con precisione;;
153;15;J;Mammalia;Lupo;Canis lupus;Buona;Olartica;Martinoli;Fenotipo mediterraneo;;
154;16;J;Aves;Cicogna nera;Ciconia nigra;Buona;Europa, Asia, Africa;Gagliardi;;;
155;17;J;Mammalia;Ghiottone;Gulo gulo;Media;Olartica;Martinoli;Raffigurazione non perfetta;;
156;20;J;Mammalia;Ghiro;Glis glis;Buona;Paleartico;;;;
157;18;J;Mammalia;Faina/Martora;Martes sp.;Buona;Europa;Martinoli;non visibili I caratteri utili per discriminare tra M. foina e M. martes anche se probabilmente pi— affine a M. foina;;
158;21;J;Mollusca;Conchiglia marina;Gasteropode Fascicolariide;Buona;acque tropicali e temperate;Russo;;;
159;;J;Mammalia;Bertuccia?;Macaca sp.;2;vedi nota;Gippoliti Spartaco;Probabilmente si tratta di una bertuccia Macaca sylvanus;;
